Location,Date,Year,Month,NewCases,NewDeaths,HospitalPatients,Vaccinations
Germany,24/02/2020 00:00,2020,February,0,,,
Italy,24/02/2020 00:00,2020,February,74,4,127,
Russia,24/02/2020 00:00,2020,February,0,,,
Spain,24/02/2020 00:00,2020,February,0,,,
Sweden,24/02/2020 00:00,2020,February,0,,,
United Kingdom,24/02/2020 00:00,2020,February,2,,,
United States,24/02/2020 00:00,2020,February,0,,,
Austria,25/02/2020 00:00,2020,February,2,,,
Belgium,25/02/2020 00:00,2020,February,0,,,
Canada,25/02/2020 00:00,2020,February,1,,,
Chile,25/02/2020 00:00,2020,February,0,,,
Croatia,25/02/2020 00:00,2020,February,1,,,
Finland,25/02/2020 00:00,2020,February,0,,,
France,25/02/2020 00:00,2020,February,2,0,2,
Germany,25/02/2020 00:00,2020,February,1,,,
Italy,25/02/2020 00:00,2020,February,93,3,149,
Russia,25/02/2020 00:00,2020,February,0,,,
Spain,25/02/2020 00:00,2020,February,4,,,
Sweden,25/02/2020 00:00,2020,February,0,,,
Switzerland,25/02/2020 00:00,2020,February,1,,,
United Kingdom,25/02/2020 00:00,2020,February,4,,,
United States,25/02/2020 00:00,2020,February,0,,,
Austria,26/02/2020 00:00,2020,February,0,,,
Belgium,26/02/2020 00:00,2020,February,0,,,
Brazil,26/02/2020 00:00,2020,February,1,,,
Canada,26/02/2020 00:00,2020,February,0,,,
Chile,26/02/2020 00:00,2020,February,0,,,
Croatia,26/02/2020 00:00,2020,February,2,,,
Estonia,26/02/2020 00:00,2020,February,0,,1,
Finland,26/02/2020 00:00,2020,February,1,,,
France,26/02/2020 00:00,2020,February,4,1,4,
Germany,26/02/2020 00:00,2020,February,10,,,
Greece,26/02/2020 00:00,2020,February,1,,,
Italy,26/02/2020 00:00,2020,February,131,2,164,
North Macedonia,26/02/2020 00:00,2020,February,1,,,
Norway,26/02/2020 00:00,2020,February,1,,,
Romania,26/02/2020 00:00,2020,February,1,,,
Russia,26/02/2020 00:00,2020,February,0,,,
Spain,26/02/2020 00:00,2020,February,7,,,
Sweden,26/02/2020 00:00,2020,February,1,,,
Switzerland,26/02/2020 00:00,2020,February,0,,,
United Kingdom,26/02/2020 00:00,2020,February,3,,,
United States,26/02/2020 00:00,2020,February,0,,,
Austria,27/02/2020 00:00,2020,February,1,,,
Belgium,27/02/2020 00:00,2020,February,0,,,
Brazil,27/02/2020 00:00,2020,February,0,,,
Canada,27/02/2020 00:00,2020,February,2,,,
Chile,27/02/2020 00:00,2020,February,0,,,
Croatia,27/02/2020 00:00,2020,February,0,,,
Denmark,27/02/2020 00:00,2020,February,1,,,
Estonia,27/02/2020 00:00,2020,February,1,,1,
Finland,27/02/2020 00:00,2020,February,0,,,
France,27/02/2020 00:00,2020,February,20,0,24,
Germany,27/02/2020 00:00,2020,February,19,,,
Greece,27/02/2020 00:00,2020,February,2,,,
Italy,27/02/2020 00:00,2020,February,202,5,304,
Netherlands,27/02/2020 00:00,2020,February,1,,1,
North Macedonia,27/02/2020 00:00,2020,February,0,,,
Norway,27/02/2020 00:00,2020,February,0,,,
Romania,27/02/2020 00:00,2020,February,0,,,
Russia,27/02/2020 00:00,2020,February,0,,,
San Marino,27/02/2020 00:00,2020,February,1,,,
Spain,27/02/2020 00:00,2020,February,2,,,
Sweden,27/02/2020 00:00,2020,February,1,,1,
Switzerland,27/02/2020 00:00,2020,February,7,,,
United Kingdom,27/02/2020 00:00,2020,February,7,,,
United States,27/02/2020 00:00,2020,February,1,,,
Austria,28/02/2020 00:00,2020,February,0,,,
Belarus,28/02/2020 00:00,2020,February,1,,,
Belgium,28/02/2020 00:00,2020,February,0,,,
Brazil,28/02/2020 00:00,2020,February,0,,,
Canada,28/02/2020 00:00,2020,February,1,,,
Chile,28/02/2020 00:00,2020,February,0,,,
Croatia,28/02/2020 00:00,2020,February,2,,,
Denmark,28/02/2020 00:00,2020,February,0,,,
Estonia,28/02/2020 00:00,2020,February,0,,1,
Finland,28/02/2020 00:00,2020,February,0,,,
France,28/02/2020 00:00,2020,February,19,0,,
Germany,28/02/2020 00:00,2020,February,2,,,
Greece,28/02/2020 00:00,2020,February,1,,,
Iceland,28/02/2020 00:00,2020,February,1,,1,
Italy,28/02/2020 00:00,2020,February,233,4,409,
Mexico,28/02/2020 00:00,2020,February,1,,,
Netherlands,28/02/2020 00:00,2020,February,0,,9,
North Macedonia,28/02/2020 00:00,2020,February,0,,,
Norway,28/02/2020 00:00,2020,February,5,,,
Romania,28/02/2020 00:00,2020,February,2,,,
Russia,28/02/2020 00:00,2020,February,0,,,
San Marino,28/02/2020 00:00,2020,February,0,,,
Spain,28/02/2020 00:00,2020,February,17,,,
Sweden,28/02/2020 00:00,2020,February,8,,1,
Switzerland,28/02/2020 00:00,2020,February,0,,,
United Kingdom,28/02/2020 00:00,2020,February,12,,,
United States,28/02/2020 00:00,2020,February,0,,,
Austria,29/02/2020 00:00,2020,February,6,,,
Belarus,29/02/2020 00:00,2020,February,0,,,
Belgium,29/02/2020 00:00,2020,February,0,,,
Brazil,29/02/2020 00:00,2020,February,1,,,
Canada,29/02/2020 00:00,2020,February,6,,,
Chile,29/02/2020 00:00,2020,February,0,,,
Croatia,29/02/2020 00:00,2020,February,1,,,
Denmark,29/02/2020 00:00,2020,February,2,,,
Estonia,29/02/2020 00:00,2020,February,0,,1,
Finland,29/02/2020 00:00,2020,February,1,,,
France,29/02/2020 00:00,2020,February,43,0,86,
Germany,29/02/2020 00:00,2020,February,31,,,
Greece,29/02/2020 00:00,2020,February,0,,,
Iceland,29/02/2020 00:00,2020,February,0,,1,
Ireland,29/02/2020 00:00,2020,February,1,,,
Italy,29/02/2020 00:00,2020,February,240,8,506,
Lithuania,29/02/2020 00:00,2020,February,1,,,
Luxembourg,29/02/2020 00:00,2020,February,1,,,
Mexico,29/02/2020 00:00,2020,February,3,,,
Monaco,29/02/2020 00:00,2020,February,1,,,
Netherlands,29/02/2020 00:00,2020,February,5,,10,
North Macedonia,29/02/2020 00:00,2020,February,0,,,
Norway,29/02/2020 00:00,2020,February,9,,,
Romania,29/02/2020 00:00,2020,February,0,,,
Russia,29/02/2020 00:00,2020,February,0,,,
San Marino,29/02/2020 00:00,2020,February,0,,,
Spain,29/02/2020 00:00,2020,February,13,,,
Sweden,29/02/2020 00:00,2020,February,3,,1,
Switzerland,29/02/2020 00:00,2020,February,10,,,
United Kingdom,29/02/2020 00:00,2020,February,5,,,
United States,29/02/2020 00:00,2020,February,8,1,,
Austria,01/03/2020 00:00,2020,March,5,,,
Belarus,01/03/2020 00:00,2020,March,0,,,
Belgium,01/03/2020 00:00,2020,March,1,,,
Brazil,01/03/2020 00:00,2020,March,0,,,
Canada,01/03/2020 00:00,2020,March,4,,,
Chile,01/03/2020 00:00,2020,March,7,,,
Croatia,01/03/2020 00:00,2020,March,1,,,
Czechia,01/03/2020 00:00,2020,March,3,,0,
